Emotions,Path
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
disgust,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-01-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
surprise,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_05/03-01-01-01-01-01-05.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_05/03-01-01-01-01-02-05.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_05/03-01-01-01-02-01-05.wav
